id,zipcode,lat,long,bedrooms,bathrooms,floors,waterfront,grade,condition,date,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,price
9106000005,98115,47.6747,-122.303,4,2.25,2,1,8,5,20150527,3750,5000,2440,1310,1924,0,1310000 
5101400871,98115,47.6914,-122.308,2,1.75,1,1,6,3,20150524,1390,6670,720,670,1941,0,445500 
7923600250,98007,47.5951,-122.144,5,2,1.5,1,7,3,20150515,1870,7344,1870,0,1960,0,450000 
4166600610,98023,47.3273,-122.37,3,2,1,1,7,4,20150514,1410,44866,1410,0,1985,0,335000 
5057100110,98042,47.3584,-122.163,5,3,2,1,9,3,20150514,3223,6371,3223,0,2014,0,479349 
1786200010,98038,47.3658,-122.04,4,2.5,2,1,9,3,20150514,2580,11780,2580,0,2003,0,456500 
1422700040,98188,47.4685,-122.282,3,1,1,1,7,3,20150514,1170,7320,1170,0,1962,0,183000 
6752600320,98031,47.401,-122.171,4,2.5,2,1,7,3,20150514,2020,7289,2020,0,1994,0,360000 
7129304540,98118,47.5192,-122.266,5,2,1.5,1,6,3,20150514,1430,5600,1430,0,1947,0,440000 
8149600265,98116,47.5607,-122.391,4,1.75,1,1,8,4,20150514,1980,5850,1380,600,1960,0,725000 
9178601660,98103,47.6542,-122.331,5,3,2,1,9,3,20150514,3320,5354,3320,0,2004,0,1695000 
6815100380,98103,47.6854,-122.331,3,1.75,1,1,7,3,20150514,1900,4000,1300,600,1965,0,855000 
8562790720,98027,47.5322,-122.075,4,3.5,2,1,10,3,20150514,2630,3757,2200,430,2008,0,749950 
8730000270,98133,47.7052,-122.343,2,2.75,2,1,8,3,20150514,1370,1140,1080,290,2009,0,359000 
2316400285,98070,47.4161,-122.441,4,3.5,2,1,8,3,20150513,2490,18042,2490,0,2003,0,495000 
3025300250,98039,47.6232,-122.236,4,2.25,2,1,9,4,20150513,2350,17709,2350,0,1977,0,1620000 
1604590190,98075,47.5987,-122.029,5,3.5,1,1,10,3,20150513,3730,16679,2760,970,1990,0,775000 
303800020,98092,47.3411,-122.197,3,2.75,2,1,9,3,20150513,3370,13929,2650,720,1986,0,425000 
3649100015,98028,47.7401,-122.249,3,2.25,1,1,7,3,20150513,1820,15000,1480,340,1978,0,480000 
3445000274,98198,47.4167,-122.302,3,1,1,1,6,4,20150513,970,8710,970,0,1962,0,170000 
1423200110,98058,47.4563,-122.184,2,1,1,1,6,3,20150513,800,9450,800,0,1958,0,180000 
9567800435,98011,47.7649,-122.205,4,1.75,1.5,1,7,4,20150513,1640,7194,1480,160,1915,0,465000 
7760400480,98042,47.3717,-122.073,3,2.5,1,1,7,3,20150513,1370,9253,1090,280,1994,0,288000 
5634500234,98028,47.7508,-122.239,3,2.5,2,1,8,3,20150513,2100,6092,2100,0,2013,0,554990 
9542801310,98023,47.2988,-122.374,3,2.25,1,1,8,3,20150513,2510,9900,1610,900,1978,0,267000 
2867300170,98023,47.3009,-122.385,4,2.5,2,1,10,3,20150513,3402,14355,2846,556,2014,0,498000 
8731730590,98031,47.3894,-122.166,4,1.75,1,1,7,4,20150513,1490,8544,1490,0,1970,0,242150 
7399000360,98055,47.4654,-122.194,4,1.75,1,1,8,4,20150513,1720,8300,1720,0,1965,0,330000 
2698200010,98055,47.4339,-122.192,3,1,1,1,7,3,20150513,1380,7334,980,400,1981,0,165000 
